file;model;win;movements;attack_attempts;successful_attacks;pct_enemy_targeted;kills;avg_request_time
ProcessLogs/AI Wars = Green[AIAgent-Utility|BigEyeGenes|Green|7] x Red[DeepSeek-deepseek-v4-flash-Prompt_4] -2026-05-25-22-18-45.log;deepseek-v4-flash;1;6;10;10;0.9000;0;24547.202666666668
ProcessLogs/AI Wars = Green[AIAgent-Utility|BigEyeGenes|Green|7] x Red[DeepSeek-deepseek-v4-flash-Prompt_4] -2026-05-25-22-34-11.log;deepseek-v4-flash;1;11;10;10;0.9000;1;26184.279787234045
ProcessLogs/AI Wars = Green[AIAgent-Utility|BigEyeGenes|Green|7] x Red[DeepSeek-deepseek-v4-flash-Prompt_4] -2026-05-25-22-59-42.log;deepseek-v4-flash;1;7;10;10;0.9000;0;22162.518888888888
ProcessLogs/AI Wars = Green[AIAgent-Utility|BigEyeGenes|Green|7] x Red[DeepSeek-deepseek-v4-flash-Prompt_4] -2026-05-25-23-12-35.log;deepseek-v4-flash;1;14;10;10;0.9000;1;25438.442950819674
ProcessLogs/AI Wars = Green[AIAgent-Utility|BigEyeGenes|Green|7] x Red[DeepSeek-deepseek-v4-flash-Prompt_4] -2026-05-25-23-45-40.log;deepseek-v4-flash;1;6;10;10;0.9000;0;22858.62172413793
ProcessLogs/AI Wars = Green[AIAgent-Utility|BigEyeGenes|Green|7] x Red[DeepSeek-deepseek-v4-flash-Prompt_4] -2026-05-25-23-59-48.log;deepseek-v4-flash;1;8;12;12;0.7500;0;24644.145853658538
ProcessLogs/AI Wars = Green[AIAgent-Utility|BigEyeGenes|Green|7] x Red[DeepSeek-deepseek-v4-flash-Prompt_4] -2026-05-26-00-21-29.log;deepseek-v4-flash;1;8;12;12;0.7500;1;25247.46
ProcessLogs/AI Wars = Green[AIAgent-Utility|BigEyeGenes|Green|7] x Red[DeepSeek-deepseek-v4-flash-Prompt_4] -2026-05-26-00-49-33.log;deepseek-v4-flash;1;8;9;9;1.0000;0;25658.92105263158
ProcessLogs/AI Wars = Green[AIAgent-Utility|BigEyeGenes|Green|7] x Red[DeepSeek-deepseek-v4-flash-Prompt_4] -2026-05-26-01-10-37.log;deepseek-v4-flash;1;7;10;10;0.9000;1;24468.49909090909
ProcessLogs/AI Wars = Green[AIAgent-Utility|BigEyeGenes|Green|7] x Red[DeepSeek-deepseek-v4-flash-Prompt_4] -2026-05-26-01-22-24.log;deepseek-v4-flash;1;9;10;10;0.9000;1;24044.7784375
ProcessLogs/AI Wars = Green[AIAgent-Utility|BigEyeGenes|Green|7] x Red[DeepSeek-deepseek-v4-flash-Prompt_4] -2026-05-26-01-38-25.log;deepseek-v4-flash;0;5;8;8;1.0000;1;23139.248499999998
ProcessLogs/AI Wars = Green[AIAgent-Utility|BigEyeGenes|Green|7] x Red[DeepSeek-deepseek-v4-flash-Prompt_4] -2026-05-26-01-48-05.log;deepseek-v4-flash;0;6;6;6;1.0000;1;29902.287959183675
ProcessLogs/AI Wars = Green[AIAgent-Utility|BigEyeGenes|Green|7] x Red[DeepSeek-deepseek-v4-flash-Prompt_4] -2026-05-26-02-18-55.log;deepseek-v4-flash;0;5;28;28;0.2500;0;23787.163703703704
ProcessLogs/AI Wars = Green[AIAgent-Utility|BigEyeGenes|Green|7] x Red[DeepSeek-deepseek-v4-flash-Prompt_4] -2026-05-26-02-45-58.log;deepseek-v4-flash;1;10;12;12;0.7500;1;30503.21046511628
